lat,lng,messid
39.72010534420427,-105.11921927652368,573be2503e952e191262c351
39.7776926172034,-105.0805748395143,573c05f83e952e1912758013
39.689753247620025,-105.01474769762714,573c0796f0fe6e735a66deb3
39.78234145701413,-105.07428711568843,573c08d2864fce1a9a0563bc
39.690190819534365,-105.01281269926842,573c08ff864fce1a9a0579b0
39.77922542019788,-105.07428763755408,573c0a45f0fe6e735a684459
39.774425873362,-105.0720286660663,573c0bb7f0fe6e735a6904a7
39.753567061350125,-104.97852818410249,573c161d3e952e19127e5da0
39.71601293882873,-105.0030863900457,573c201bf0fe6e735a759e7b
39.80432410201858,-105.05474729983696,573c2d133e952e19128e5fc9
39.72424259285526,-104.99314125524172,573c3147f0fe6e735a81c7c4
39.72847735013535,-105.01650518259757,573c32b7f0fe6e735a82cf57
39.71935786495051,-105.00886817606356,573c3445f0fe6e735a83e8a8
39.72187976997299,-105.0096342217768,573c35a3f0fe6e735a84f1b7
39.76000224341613,-105.02373604849114,573c3712864fce1a9a24a5cd
39.736019231824585,-105.10666004584394,573c5200864fce1a9a38329a
39.75669354487747,-105.14611056468871,573c5494864fce1a9a39fe2e
39.727231837499716,-105.01106983209802,573c555b864fce1a9a3a8653
39.76741885083129,-105.0140198521015,573c6593f0fe6e735aa64173
39.77795351504492,-105.05147833525136,573c6ab1f0fe6e735aa9801f
39.780838843345336,-105.04371220134684,573c7240864fce1a9a4d6026
39.76360945407508,-105.02482104809243,573c73b53e952e1912bf71bd
39.754731197552076,-105.02399535279798,573c75243e952e1912c05e9c
39.77701425524592,-105.05095199570735,573c9063864fce1a9a60d02e
39.75413422193246,-105.02133672810035,573c93cef0fe6e735ac38c13
39.737551875300184,-105.02215530970675,573c97153e952e1912d61e00
39.68991265034656,-105.0275978268671,573c983a3e952e1912d6c5ce
39.73849394132318,-105.04544915727718,573c98803e952e1912d6f352
39.68980678717381,-105.04619614170606,573c998e864fce1a9a666954
